increas-in	0	1	3	3	4	0	1	9	3	4
to-reach	2	0	0	0	11	3	0	0	0	17
portal	2	0	0	0	11	2	0	0	0	15
batteri-is	4	1	4	12	20	4	1	4	18	20
defend	4	1	0	2	4	4	1	0	2	4
is-low	4	1	0	2	4	6	1	0	2	4
voic	5	12	2	22	52	6	30	2	23	74
that-appl	14	11	15	20	66	14	11	15	20	71
softwar-and	2	3	2	4	7	2	3	2	4	7
aesthet	0	4	0	1	16	0	4	0	1	18
a-walk	2	0	5	0	6	2	0	5	0	6
qualiti-than	0	0	0	10	15	0	0	0	10	15
bought-in	2	4	2	1	6	2	4	2	1	6
and-music	1	1	0	4	21	1	1	0	4	21
glass-and	0	2	0	5	5	0	2	0	5	5
slow-charg	0	2	0	5	5	0	2	0	5	5
pixel-densiti	4	0	5	0	8	4	0	5	0	8
of-screen	2	3	3	4	8	2	3	3	4	8
hope-of	3	0	0	0	13	3	0	0	0	15
my-offic	0	2	0	8	10	0	2	0	10	10
read-email	1	1	3	1	20	1	1	3	1	28
unit-and	8	3	1	3	13	8	3	1	3	13
read-a	3	3	10	26	76	3	4	10	26	86
not-complet	1	1	0	6	6	1	1	0	6	6
catch-up	3	0	4	7	11	3	0	4	7	11
mous	1	1	8	12	24	2	1	8	13	24
bought-a	26	4	20	18	84	26	4	20	18	97
to-visit	2	0	1	5	5	2	0	1	5	5
niec	2	0	5	1	6	2	0	8	1	8
stock	12	3	7	15	37	15	3	7	21	49
good-app	3	1	1	7	9	3	2	2	7	9
in-person	3	1	1	7	9	3	1	1	7	9
rare	0	2	9	19	43	0	4	9	23	43
visit-the	4	0	3	0	5	4	0	3	0	5
is-nice	4	13	8	22	57	4	13	8	26	58
figur-it	4	3	4	13	23	4	3	4	13	23
was-fast	0	5	3	1	23	0	5	3	1	23
bluetooth-keyboard	1	1	0	13	21	1	1	0	31	30
watch-tv	0	1	0	2	14	0	1	0	2	14
fit-perfect	0	1	0	2	14	0	1	0	2	14
of-servic	0	5	1	0	6	0	5	1	0	6
last-year	4	3	2	7	42	5	3	2	7	48
lightn-connector	0	0	0	9	12	0	0	0	12	12
file-and	0	0	0	9	12	0	0	0	9	12
i-learn	7	2	1	7	14	7	2	1	7	14
mind-the	0	1	6	2	8	0	1	6	2	8
d-recommend	2	0	2	6	7	2	0	2	6	7
be-prepar	6	1	1	0	7	6	1	1	0	7
pictur-is	0	2	0	2	16	0	2	0	2	16
on-vacat	0	2	0	2	16	0	2	0	2	16
was-excel	2	0	0	6	6	2	0	0	6	6
s-pretti	3	3	3	9	15	3	3	3	10	23
listen-to	10	7	1	30	66	19	7	1	30	77
product-in	5	1	3	1	28	5	1	3	1	28
bigger-screen	3	8	2	9	21	3	8	2	11	21
look-pretti	1	3	1	6	8	1	3	1	6	8
narrow	5	1	0	3	6	5	1	0	3	7
nt-stand	0	3	1	3	4	0	3	1	6	4
other-hand	8	0	2	4	12	8	0	2	4	19
hot-spot	0	1	2	8	10	0	1	4	8	10
huge	22	16	11	33	95	24	16	11	38	108
with-ice	0	1	2	4	4	0	1	2	4	4
las	2	1	0	5	5	2	1	0	6	5
nt-yet	3	3	2	6	10	3	3	2	6	10
a-web	1	5	3	4	10	2	5	3	4	10
conclus	1	5	3	4	10	1	5	3	4	11
stylish	0	1	1	0	11	0	1	1	0	11
more-detail	0	1	1	0	11	0	1	1	0	11
ebook-on	0	1	1	0	11	0	1	1	0	11
second-ipad	0	5	0	1	17	0	5	0	1	17
is-complet	2	2	2	2	4	2	3	2	2	4
i-experienc	1	0	3	5	6	2	0	3	5	6
no-matter	6	6	4	12	26	6	6	4	12	29
nt-feel	0	1	3	13	21	0	1	3	13	23
and-includ	1	0	4	3	5	1	0	4	3	5
one-speaker	1	3	0	7	9	1	3	0	11	9
i-live	6	8	5	8	25	6	8	5	8	25
year-ago	6	1	5	17	31	6	1	6	17	31
hey	1	3	5	3	9	2	3	5	3	10
mine	42	24	14	42	152	44	27	16	64	189
NUM-than	0	0	3	2	18	0	0	3	2	18
had-problem	2	3	2	5	8	2	3	2	5	8
was-definit	2	1	3	4	6	2	1	3	4	6
even-notic	0	0	0	4	16	0	0	0	4	16
plant-vs	0	0	0	4	16	0	0	0	4	16
purs-and	0	0	0	4	16	0	0	0	7	16
iwork	0	0	0	4	16	0	0	0	4	30
my-le	4	4	0	11	18	4	4	0	15	19
the-initi	1	2	1	6	7	1	2	1	6	13
strict	0	3	0	0	12	0	3	0	0	12
flexibl	0	0	4	16	32	0	0	8	16	50
is-appl	4	2	0	7	10	4	2	0	7	10
year-old	23	21	9	28	96	23	25	9	41	99
and-allow	3	0	1	6	7	3	0	2	6	7
the-beauti	1	0	4	9	13	1	0	4	9	13
replac-with	3	7	1	0	12	3	7	1	0	12
ipad-to	6	6	16	32	109	6	6	16	45	136
worth-upgrad	0	0	0	3	14	0	0	0	3	14
power-of	0	0	0	3	14	0	0	0	3	14
also-download	0	0	0	3	14	0	0	0	3	14
camera-take	0	0	0	3	14	0	0	0	3	14
help-for	0	0	0	3	14	0	0	0	3	14
has-lot	0	0	0	3	14	0	0	0	3	14
simpli-becaus	0	0	0	3	14	0	0	0	3	14
is-respons	0	2	2	5	6	0	2	2	5	6
inch-screen	0	2	1	8	10	0	2	1	13	10
a-macbook	0	1	4	1	19	0	1	4	1	22
larger-ipad	0	1	1	1	14	0	3	1	1	15
a-bright	0	1	1	1	14	0	1	1	1	14
awar	12	4	8	6	30	18	4	9	6	30
verdict	0	0	6	3	8	0	0	6	3	8
featur-are	0	0	6	3	8	0	0	6	3	8
educ	1	2	6	7	40	1	3	6	17	42
output	1	2	1	13	20	1	3	1	13	26
worth	50	24	16	80	298	51	28	16	97	363
the-camera	17	27	23	55	167	17	29	26	67	195
retail	6	8	3	16	34	6	8	4	23	38
onli-complaint	0	1	1	14	25	0	1	1	14	25
work-but	4	2	5	5	12	4	2	5	5	13
watch-my	1	0	1	10	13	1	0	1	10	15
recomend	0	2	2	4	25	0	2	2	4	25
film	7	2	0	1	9	7	3	0	1	14
good-stuff	2	2	1	4	5	2	2	1	4	5
good-or	2	0	0	2	17	2	0	0	2	17
insid-the	2	3	2	2	27	3	3	2	2	33
NUM-that	7	5	3	10	22	7	5	3	10	22
their-app	1	0	0	1	12	1	0	0	2	18
5th	1	0	0	1	12	1	0	0	1	12
happi-and	1	0	0	1	12	1	0	0	1	12
first-tablet	13	11	10	27	68	13	12	10	31	71
music-on	4	0	0	0	15	4	0	0	0	15
review-from	3	2	7	0	12	3	2	8	0	13
perform-the	1	0	2	5	5	1	0	2	5	5
load-it	2	0	7	2	10	2	0	7	2	10
unusu	0	1	1	6	6	0	1	1	6	6
was-NUM	6	0	5	8	16	6	0	5	11	16
some-app	5	6	3	15	29	5	6	3	16	31
a-kid	7	0	0	11	18	7	0	0	11	18
environ	1	1	0	9	11	1	1	0	10	19
and-weight	2	1	0	10	13	4	1	0	10	13
lap-top	1	1	5	1	23	1	1	5	1	23
option-in	2	2	6	3	10	2	2	6	3	10
my-best	1	1	0	2	17	1	1	0	2	17
sport	1	1	0	2	17	1	1	0	2	23
4s-and	0	0	3	6	7	0	0	3	6	7
wonder-how	3	0	0	4	4	3	0	0	4	4
one-screen	4	0	2	1	4	4	0	2	1	4
veri-respons	0	2	0	14	31	0	2	0	14	33
bear	1	0	7	3	10	1	0	7	6	10
purchas	196	78	112	192	825	297	109	187	265	1075
3g4g	0	6	0	0	9	0	6	0	0	27
kudo-to	0	6	0	0	9	0	6	0	0	9
mile	1	1	1	10	13	1	1	1	10	13
is-gorgeous	0	0	1	7	24	0	0	1	7	24
releas-of	0	1	7	1	10	0	1	19	1	10
to-manag	3	1	1	3	4	6	2	1	3	4
it-great	1	1	3	13	20	1	1	3	13	20
newest	11	9	10	23	57	14	14	10	26	79
be-true	0	7	0	1	11	0	7	0	1	11
be-expect	3	0	2	0	18	3	0	2	0	24
generat-is	0	0	6	0	8	0	0	6	0	13
this-articl	0	0	6	0	8	0	0	6	0	8
station	9	9	6	5	29	11	12	10	7	37
truth	1	0	6	6	11	1	0	6	6	12
touch-with	4	0	0	4	5	4	0	0	4	6
bound	4	0	0	4	5	4	0	0	4	5
icloud	1	2	1	15	41	1	2	1	26	49
while-travel	3	4	1	4	8	3	4	1	4	8
was-play	7	0	0	1	8	7	0	0	1	9
newer-version	1	1	1	11	15	1	1	1	12	17
concern	13	8	26	18	84	13	14	28	32	123
or-read	0	6	0	2	21	0	6	0	2	21
least-NUM	5	3	1	1	7	5	3	1	2	7
memori-and	0	3	1	7	9	0	3	1	7	9
with-friend	3	0	0	10	13	3	0	0	11	17
thought-that	3	11	2	4	23	3	11	2	5	23
access-to	9	11	9	23	57	10	13	10	23	64
2g	0	0	0	10	14	0	0	0	16	14
heavi-and	0	0	6	8	35	0	0	6	8	35
lenovo	1	2	2	3	4	1	3	2	5	4
guess-it	1	2	2	3	4	1	2	2	3	4
more-conveni	0	1	4	13	21	0	1	4	13	21
of-chang	0	6	0	4	9	0	6	0	4	9
tote	0	0	0	11	17	0	0	0	16	17
love-that	1	0	0	13	30	2	0	0	19	35
veri-clear	3	0	0	12	17	3	0	0	12	17
precis	0	1	3	0	15	0	1	4	0	21
this-pad	0	0	5	3	6	0	0	5	3	6
resourc	0	0	0	2	12	0	0	0	2	26
one-devic	0	0	0	2	12	0	0	0	2	13
game-to	0	0	0	2	12	0	0	0	2	12
veri-versatil	0	0	0	2	12	0	0	0	2	12
awesom-for	0	0	0	2	12	0	0	0	2	12
effici-and	0	0	0	2	12	0	0	0	2	12
onli-gripe	0	0	0	2	12	0	0	0	2	12
3rd	31	9	24	67	232	65	9	36	81	294
NUM-updat	1	1	5	6	10	1	2	5	6	10
song	2	7	2	3	12	4	9	2	3	16
game-that	3	4	1	13	21	3	4	1	13	26
product-like	6	2	0	1	7	6	2	0	1	7
