i-initi	0	0	1	0	11	0	0	1	0	11
not-hold	11	0	0	0	2	15	0	0	0	2
appl-will	6	0	4	6	4	6	0	4	6	4
tablet-world	1	0	0	5	6	1	0	0	5	6
been-releas	0	0	0	0	11	0	0	0	0	17
no-appl	0	1	3	1	14	0	1	3	1	14
servic-plan	6	0	0	0	6	6	0	0	0	6
expect-for	0	1	4	6	20	0	1	4	6	20
locat-where	1	0	0	14	2	1	0	0	15	2
my-network	1	1	0	1	9	1	1	0	1	9
amaz-at	1	0	1	3	21	1	0	1	3	21
amaz-as	0	0	0	8	4	0	0	0	8	4
user-interfac	3	0	1	5	14	3	0	1	5	14
wish-appl	2	0	0	12	7	2	0	0	12	7
i-accident	2	1	0	0	9	2	1	0	0	9
great-devic	6	1	0	18	35	8	1	0	20	35
faster-and	3	0	0	15	11	3	0	0	15	11
test-and	4	3	0	3	3	4	4	0	3	3
dictat-featur	0	0	6	0	10	0	0	6	0	13
novemb-NUM	4	1	0	4	2	4	1	0	4	2
defend	4	1	0	2	4	4	1	0	2	4
with-high	1	0	0	6	5	1	0	0	6	5
high-suggest	1	0	1	0	10	1	0	1	0	10
problem-sinc	2	0	0	8	4	2	0	0	8	4
plethora-of	0	1	0	0	11	0	1	0	0	11
amaz-to	0	0	0	6	7	0	0	0	6	12
excel-for	2	0	1	1	11	2	0	1	1	11
genius	6	6	0	1	10	7	6	0	1	10
amaz-on	0	0	0	7	9	0	0	0	7	9
plug-into	0	2	5	8	9	0	2	5	8	9
and-magazin	0	1	6	3	15	0	1	6	3	15
protect-the	1	0	2	5	12	1	0	2	5	12
harder-to	0	0	2	5	12	0	0	2	5	12
old-daughter	5	2	1	0	12	5	2	1	0	13
to-review	0	1	1	5	9	0	1	1	6	9
near-futur	1	0	2	3	17	1	0	2	3	17
a-microsd	0	3	1	2	8	0	3	1	2	8
faster-cpu	0	0	9	2	2	0	0	9	2	2
plethora	0	1	0	0	11	0	1	0	0	11
onli-charg	0	0	0	7	6	0	0	0	7	6
father	2	1	0	2	14	2	1	0	2	14
light-weight	1	0	1	5	34	1	0	1	5	37
earphon	5	5	0	2	8	5	5	0	3	8
ipad-also	6	0	1	0	11	6	0	1	0	11
of-portabl	0	0	3	2	10	0	0	3	2	10
look-absolut	0	0	0	0	16	0	0	0	0	16
video-game	2	0	1	1	11	2	0	1	1	11
great-appl	0	0	0	1	13	0	0	0	1	13
summer	3	0	0	4	8	3	0	0	7	8
NUM-generat	5	0	0	3	9	5	0	0	3	9
join	4	0	2	0	11	4	0	2	0	11
nt-offer	4	1	0	4	4	8	1	0	4	4
identifi	11	1	2	0	8	11	1	2	0	10
4g-on	0	0	0	1	10	0	0	0	1	16
just-thought	0	0	0	10	1	0	0	0	10	1
experi-and	0	0	1	1	12	0	0	1	1	12
heard-the	0	1	0	0	13	0	1	0	0	13
everyth-perfect	2	0	0	1	10	2	0	0	1	10
was-perfect	1	1	0	1	43	1	1	0	1	43
have-experienc	5	1	0	7	8	5	1	0	7	8
feet-from	0	2	4	0	8	0	2	4	0	12
4g-is	0	2	0	5	17	0	2	0	5	25
NUM-ipad	8	0	2	0	45	8	0	2	0	51
portabl-devic	0	2	0	4	13	0	2	0	4	15
and-check	1	4	0	5	11	1	4	0	5	11
the-site	5	0	3	1	7	5	0	5	1	7
great-way	0	0	0	1	15	0	0	0	1	15
seem-good	0	0	1	8	2	0	0	1	8	2
chat-with	4	0	2	5	7	4	0	2	5	7
veri-light	0	1	0	3	25	0	1	0	3	25
remark	15	0	1	0	27	20	0	1	0	27
veri-expens	10	0	0	0	3	10	0	0	0	3
easiest	1	0	0	4	17	1	0	0	4	17
tabl-for	0	2	8	0	2	0	2	8	0	2
downfal	1	1	1	10	0	1	1	1	10	0
lot-on	0	1	0	0	17	0	1	0	0	23
one-screen	4	0	2	1	4	4	0	2	1	4
memori-for	4	0	0	2	5	4	0	0	2	5
search-and	1	3	2	0	7	1	3	2	0	7
app-such	1	0	1	6	9	1	0	1	6	9
understand-that	4	0	3	4	4	4	0	3	4	4
the-kitchen	7	0	1	1	8	12	0	1	1	8
restart-it	4	2	0	3	2	4	2	0	3	3
type-this	1	3	0	3	18	1	3	0	3	18
mani-android	0	1	0	0	13	0	1	0	0	13
wonder-how	3	0	0	4	4	3	0	0	4	4
buy-again	1	0	1	3	7	1	0	1	3	7
you-upgrad	5	0	0	0	7	5	0	0	0	19
that-matter	8	1	0	9	7	8	1	0	9	7
app-select	2	0	2	12	2	2	0	2	18	2
rule	1	2	0	2	14	1	2	0	2	15
boast-about	0	0	0	5	6	0	0	0	5	6
as-ipad	0	0	1	4	10	0	0	1	4	14
avail-app	0	1	5	6	4	0	1	5	6	4
much-clearer	0	0	0	8	3	0	0	0	8	3
so-impress	1	0	0	0	15	1	0	0	0	15
veri-crisp	0	0	2	1	8	0	0	2	1	8
will-purchas	0	1	0	0	11	0	1	0	0	11
appoint	0	0	0	2	18	0	0	0	3	18
will-wait	1	0	0	0	10	1	0	0	0	10
pros-and	0	0	2	17	4	0	0	2	20	4
solut-to	1	2	5	0	3	1	2	5	0	3
are-wonder	0	0	0	6	13	0	0	0	6	13
octob	4	3	3	0	7	4	3	3	0	7
offer-me	5	0	0	3	5	5	0	0	3	5
great-batteri	0	0	0	6	14	0	0	0	6	14
intern-storag	2	0	2	7	2	6	0	2	10	2
not-readi	3	6	1	1	0	3	7	1	1	0
of-power	0	8	1	3	4	0	14	1	3	4
fast-ship	0	0	1	1	16	0	0	2	1	16
your-exist	0	0	0	9	4	0	0	0	9	4
laptop-comput	0	0	0	4	9	0	0	0	4	9
be-happi	1	0	2	2	14	1	0	2	2	14
that-io	0	0	0	9	3	0	0	0	9	3
are-connect	0	0	1	3	12	0	0	1	3	12
next-morn	3	0	2	5	1	3	0	2	5	1
sit-and	1	2	0	0	8	1	2	0	0	8
save-the	2	0	8	1	6	2	0	8	1	6
have-paid	3	4	0	1	10	3	4	0	1	10
genuin	0	0	6	2	8	0	0	6	2	8
anoth-ipad	3	0	0	0	16	3	0	0	0	16
a-faster	0	3	10	14	21	0	3	10	14	21
right-size	1	1	0	4	17	1	1	0	4	18
wonder-for	1	0	0	6	20	1	0	0	6	20
passcod	0	0	0	0	11	0	0	0	0	15
x-NUM	0	1	0	3	27	0	1	0	4	47
great-also	0	0	0	3	8	0	0	0	3	8
overh	0	6	16	0	18	0	6	16	0	18
overr	1	3	0	5	7	1	3	0	5	7
new-io	5	5	0	1	10	5	10	0	1	10
antenna-is	0	0	0	5	6	0	0	0	5	6
i-spend	3	0	0	4	11	3	0	0	5	11
touch-respons	0	0	0	2	9	0	0	0	2	9
wast-of	36	10	4	0	5	37	11	4	0	5
and-screen	4	2	0	8	17	4	3	0	9	17
it-price	0	1	2	3	10	0	1	2	3	10
mega-pixel	2	0	0	5	5	2	0	0	15	5
meet-the	4	0	7	2	4	4	0	7	2	4
roll	3	3	0	6	9	3	3	0	6	9
role	0	0	0	0	11	0	0	0	0	11
help-the	0	2	0	4	10	0	2	0	4	10
that-NUM	6	0	1	1	16	6	0	1	2	17
netbook-and	3	0	0	6	3	3	0	0	6	3
from-cobi	10	0	2	0	1	10	0	2	0	1
my-googl	1	1	0	2	19	1	1	0	2	27
latest-ipad	0	0	12	0	15	0	0	12	0	16
prais	3	1	0	1	13	3	1	0	1	13
download-them	0	1	2	7	5	0	1	2	8	5
remedi	8	1	5	2	0	8	1	5	2	0
option-that	0	2	1	3	10	0	2	1	3	10
describ-and	0	0	0	4	17	0	0	0	4	17
handheld-devic	0	0	0	10	1	0	0	0	10	1
huge-differ	0	3	0	8	9	0	3	0	8	9
touch-and	0	4	4	6	15	0	4	4	6	19
memori-and	0	3	1	7	9	0	3	1	7	9
an-adult	8	0	5	2	1	8	0	5	2	1
hot-and	0	0	7	3	2	0	0	7	3	2
right-side	3	0	4	4	2	3	0	4	4	2
sens-to	0	0	1	7	3	0	0	1	7	3
it-support	1	3	0	1	6	1	3	0	1	6
excel-and	0	1	0	11	13	0	1	0	11	14
it-pretti	0	2	1	1	11	0	2	1	1	11
larger-batteri	0	0	12	3	5	0	0	12	3	5
generat-tablet	0	0	7	1	3	0	0	7	1	3
owner-s	0	1	3	6	1	0	1	3	7	1
win-NUM	0	0	3	7	1	0	0	6	7	1
justifi-spend	2	0	1	3	5	2	0	2	3	5
a-separ	0	14	1	3	5	0	14	1	3	5
spreadsheet	0	0	0	15	23	0	0	0	15	30
other-custom	0	6	0	0	7	0	6	0	0	7
person-that	0	2	0	0	12	0	2	0	0	12
recomend	0	2	2	4	25	0	2	2	4	25
