in-action	1	8	1	13	49	1	8	1	13	49
good-video	0	1	3	14	40	0	1	3	14	40
and-subsequ	6	2	0	7	11	6	2	0	7	11
mhz	4	6	7	14	28	4	6	9	15	49
NUM-mhz	4	6	7	14	28	4	6	9	15	48
various-tablet	2	2	2	9	39	2	2	2	11	39
hard-case	1	1	0	6	25	1	1	0	7	27
less-batteri	1	1	0	6	25	1	1	0	6	25
light-so	1	4	3	8	40	1	4	3	8	40
the-ice	10	3	5	24	44	10	3	5	25	46
parcel	5	0	0	2	22	5	0	0	2	22
her-appl	5	0	0	2	22	5	0	0	2	25
featur-compar	0	0	0	10	25	0	0	0	10	25
appletv	0	0	0	10	25	0	0	0	16	25
not-read	23	14	24	24	96	23	14	24	24	99
my-verizon	8	3	10	4	24	8	3	10	6	24
ani-glitch	0	5	0	9	13	0	5	0	9	13
spent-so	2	1	9	1	15	2	1	9	1	15
becom-addict	0	0	0	9	24	0	0	0	9	24
veri-useful	0	0	0	9	24	0	0	0	9	24
just-learn	2	8	0	17	31	2	8	0	17	31
read-them	10	9	22	49	152	10	9	23	53	152
one-purchas	3	0	6	6	11	3	0	6	6	11
video-resolut	5	0	8	3	14	5	0	8	3	14
meal	0	3	0	3	20	0	3	0	3	24
the-microusb	19	4	6	20	50	22	5	6	23	69
imagin-a	8	4	1	10	19	8	4	1	10	19
is-clean	1	3	5	11	47	1	3	5	12	47
an-ir	0	7	2	6	35	0	7	2	6	37
32gb-card	1	3	7	23	43	1	3	7	24	47
long-befor	5	5	14	4	34	5	5	14	4	34
get-full	4	4	15	13	38	4	4	15	16	38
her-older	2	0	0	7	27	2	0	0	7	28
kind-enough	10	5	0	0	24	10	5	0	0	24
with-stylus	1	0	1	16	26	1	0	1	17	26
free-3g	0	0	6	3	24	0	0	6	3	27
germani	5	0	0	4	27	5	0	0	6	29
radio-shack	4	5	9	6	21	4	8	9	6	22
it-cheaper	3	0	4	20	33	3	0	4	20	33
note-app	2	9	18	20	86	2	17	30	25	90
googl-calendar	2	4	14	30	86	2	4	14	32	106
nt-disappoint	9	5	4	11	65	9	5	4	11	65
softwar-but	5	5	4	5	14	5	5	4	5	14
store-you	10	9	9	7	34	10	9	9	7	34
need-internet	5	0	7	0	26	5	0	7	0	28
old-technolog	5	5	2	6	13	5	5	2	6	13
handl-multipl	0	0	1	11	14	0	0	1	11	14
technic-aspect	0	0	1	11	14	0	0	1	11	14
youtub-in	1	0	9	1	18	1	0	9	1	18
nt-readi	2	2	9	11	22	2	2	9	11	22
stream-prime	0	0	11	6	21	0	0	11	6	27
case-you	19	9	21	49	115	19	9	22	50	115
64gb-and	0	1	7	12	20	0	1	7	13	23
content-to	6	6	22	34	86	9	6	27	47	88
ipad2-doe	9	3	0	0	15	9	3	0	0	29
brows-a	6	1	12	6	25	6	1	12	6	25
easili-with	1	3	6	25	62	1	3	6	25	67
wait-or	5	5	8	4	19	5	6	9	4	21
expect-are	1	1	2	10	12	1	1	2	11	13
be-lock	7	7	3	12	25	8	7	3	12	26
yrs-old	0	4	2	21	44	0	4	2	21	45
with-64gb	8	0	6	6	47	8	0	7	6	47
the-angl	2	4	10	23	45	2	4	10	31	69
work-through	8	3	0	11	19	8	3	0	11	19
right-edg	0	3	6	4	32	0	3	6	7	32
a-top	15	2	7	46	113	15	2	7	46	114
it-support	10	16	17	32	84	10	17	17	33	87
ve-load	3	2	1	12	44	3	3	1	12	44
not-damag	1	2	9	4	15	1	2	9	4	15
desk-and	9	15	8	10	45	9	15	8	10	45
some-googl	1	3	11	8	23	1	3	11	8	23
wear-out	8	3	3	15	26	8	3	3	15	28
in-keyboard	4	1	7	16	27	4	1	7	20	28
and-media	6	8	22	33	85	6	8	22	33	89
not-afford	0	1	1	11	32	0	1	1	11	33
movi-look	11	3	12	45	120	11	3	12	45	127
sibl	4	1	3	15	53	4	1	3	15	59
i-assur	9	1	0	0	19	9	1	0	0	19
generat-for	3	0	3	18	28	3	0	3	18	28
with-support	6	7	4	5	18	8	7	4	5	23
email-while	2	1	6	6	38	2	1	6	6	38
or-screen	6	9	3	19	37	6	9	3	19	37
card-up	0	2	3	16	25	0	2	3	16	25
time-even	7	1	8	14	27	7	1	8	14	27
benefit-from	3	10	10	27	58	3	10	10	27	58
cooper	9	13	1	7	33	11	13	1	7	33
big-reason	0	2	6	3	28	0	2	6	3	28
is-inexpens	2	3	7	6	14	2	3	7	6	14
cheap-or	12	0	1	2	21	12	0	1	2	21
on-desktop	2	3	1	10	13	2	3	1	10	13
from-usb	6	1	2	10	15	18	1	2	10	15
optic	4	0	1	22	41	4	0	1	22	41
in-resolut	0	6	1	10	16	0	6	1	10	16
thing-more	0	2	1	12	16	0	2	1	12	16
finish-a	0	0	2	12	16	0	0	2	12	16
you-desir	6	1	2	14	21	6	1	2	15	21
nice-new	10	1	1	0	18	10	1	1	0	18
understood-the	4	2	8	9	19	4	2	15	9	19
resolut-for	4	1	8	30	61	4	1	8	30	61
fast-i	15	3	4	19	86	15	3	4	19	91
101inch	21	18	27	45	127	23	19	36	52	139
my-thumb	4	4	16	25	57	4	4	18	26	57
prop-up	0	9	5	22	45	0	15	5	25	46
pix	2	1	2	19	31	2	1	2	20	31
nice-when	5	5	8	24	45	5	5	11	24	45
slowdown	3	3	5	29	60	3	3	6	29	75
feather	5	0	8	17	65	5	0	8	17	65
back-panel	3	0	7	14	23	3	0	7	14	30
like-work	2	0	4	4	29	2	0	4	4	31
sit-down	0	16	6	21	60	0	20	6	21	60
amazon-made	3	5	4	30	67	3	5	4	30	68
origin-version	0	0	3	16	26	0	0	3	16	26
thing-my	0	12	8	6	35	0	12	8	6	36
shot-with	0	1	0	7	24	0	1	0	7	24
go-NUM	3	4	5	26	48	3	4	5	26	48
button-be	5	0	12	21	42	5	0	14	21	43
review-talk	0	1	2	5	25	0	1	2	5	25
warehous-deal	23	4	3	9	53	30	6	3	11	57
with-soni	9	0	3	3	13	9	0	5	3	13
and-lose	9	0	3	3	13	10	0	3	3	13
my-kitchen	0	3	1	10	35	0	3	1	10	35
rent-a	0	7	1	9	16	0	12	1	9	17
to-prop	2	13	7	15	40	2	13	7	15	40
do-email	6	1	21	28	72	6	1	21	28	73
chicago	0	1	1	4	21	0	1	1	4	21
has-pretti	4	8	1	16	29	4	8	1	16	29
tin	0	1	2	4	23	0	1	2	4	26
class-at	0	9	5	4	19	0	9	5	4	19
recognit-softwar	1	2	0	14	20	1	2	0	14	20
price-when	2	2	3	17	26	2	2	3	17	26
well-round	0	0	2	8	28	0	0	2	8	28
the-compon	6	5	2	7	15	6	5	2	7	15
friend-on	1	0	1	17	30	1	0	1	17	31
one-question	6	3	3	4	11	6	3	3	4	11
issu-or	15	10	17	20	64	15	11	17	20	65
hand-write	1	3	18	13	53	2	7	20	15	62
samsung-tablet	47	51	35	108	313	50	64	40	117	338
is-requir	11	4	15	28	62	11	4	20	28	64
after-year	5	1	0	20	33	5	1	0	20	33
meet-the	12	13	23	25	82	12	13	23	25	83
are-concern	3	4	1	15	52	3	4	1	15	55
the-generic	2	2	2	12	16	2	2	2	12	16
the-naysay	0	0	0	11	26	0	0	0	11	26
more-mobil	0	0	0	11	26	0	0	0	11	26
with-spen	0	0	0	11	26	0	0	0	15	26
that-read	4	5	6	18	32	4	6	6	21	33
expens-as	0	7	1	11	19	0	7	1	11	19
had-ipad	2	0	1	17	41	2	0	1	17	41
minor-problem	2	1	4	19	54	2	1	4	19	54
ampl	0	9	17	19	76	0	9	17	25	76
simultan	6	10	24	45	119	6	10	35	47	136
read-where	4	0	9	2	15	4	0	9	2	15
cpu-and	3	12	20	17	85	3	17	21	17	105
speed-differ	0	0	0	13	21	0	0	0	13	21
the-waterproof	0	0	0	13	21	0	0	0	15	22
featur-with	1	6	7	28	73	1	6	7	28	77
hurri	5	12	7	24	52	5	12	7	24	52
an-invalu	0	0	0	6	20	0	0	0	6	20
wonder-addit	0	0	0	6	20	0	0	0	6	20
geat	0	0	0	6	20	0	0	0	6	20
realli-chang	0	0	0	6	20	0	0	0	6	20
over-kindl	0	0	0	6	20	0	0	0	6	20
littl-tweak	0	0	0	6	20	0	0	0	6	20
excel-support	0	0	0	6	20	0	0	0	6	20
well-satisfi	0	0	0	6	20	0	0	0	6	20
downton-abbey	0	0	0	6	20	0	0	0	6	20
