these-thing	5	3	2	14	25	5	3	2	15	25
is-fine	5	1	4	19	36	5	1	4	20	40
kudo	0	6	0	1	15	0	6	0	1	15
well-built	1	3	3	5	9	1	3	3	5	10
the-older	0	3	1	6	27	0	3	2	6	28
microsd-card	0	3	5	9	17	0	3	5	12	18
car	4	7	6	26	59	6	7	6	32	78
intens	0	3	8	11	25	0	4	8	13	26
googl-map	0	8	2	7	19	0	8	2	9	19
user-and	2	1	7	3	12	2	1	7	3	13
littl-tablet	0	0	2	10	15	0	0	2	10	15
a-game	2	9	8	3	39	2	9	8	3	49
few-time	5	3	5	4	14	5	3	5	5	17
great-with	0	1	3	7	29	0	1	3	7	29
the-lightn	0	0	0	10	19	0	0	0	10	22
train	2	0	1	9	12	2	0	1	9	13
it-arriv	21	2	1	17	79	21	2	1	18	81
simpl-and	2	0	0	6	24	2	0	0	6	28
you-guy	0	0	2	8	26	0	0	2	8	27
time-for	17	5	2	6	38	17	5	2	6	38
display-and	0	3	3	16	32	0	3	3	16	37
surf-the	9	11	10	31	76	9	15	10	31	94
wife	43	21	25	84	298	65	24	26	112	388
first-gen	1	2	1	2	20	1	2	1	3	20
daughter-and	3	2	7	6	16	5	2	7	6	16
ultim	0	3	8	5	17	0	3	8	17	17
the-competit	0	3	0	3	19	0	3	0	6	24
the-road	0	1	6	16	43	0	1	6	16	44
in-comparison	0	0	4	9	14	0	0	4	17	15
get-better	5	2	4	8	16	5	2	4	8	16
resolut-is	1	1	3	17	39	1	1	3	17	42
of-video	0	6	2	5	31	0	6	3	6	31
doubl	1	10	5	14	36	1	12	5	18	41
my-pc	3	6	3	2	33	4	9	3	2	35
this-babi	0	0	6	2	20	0	0	6	2	20
ipad-you	0	1	1	11	29	0	1	1	11	29
paper	16	11	3	14	49	18	12	3	15	52
second-one	11	3	2	5	21	12	3	2	7	21
NUM-after	8	0	1	0	13	8	0	1	0	13
on-wifi	5	5	2	6	15	5	5	2	6	23
for-travel	1	1	1	15	31	1	1	1	15	31
the-flash	3	1	4	9	15	3	1	4	9	15
outlet	2	1	0	9	12	2	1	0	9	13
i-charg	7	3	0	7	15	7	3	0	7	15
