U[0]	Top5UnlabeledData
0	0
1	4
2	4
3	1
4	4
U[0]	Top5LabeledData
0	4
1	4
2	4
3	1
4	4
U[1]	Top5UnlabeledData
0	3
1	1
2	3
3	4
4	4
U[1]	Top5LabeledData
0	4
1	4
2	4
3	4
4	1
U[2]	Top5UnlabeledData
0	4
1	3
2	3
3	0
4	4
U[2]	Top5LabeledData
0	4
1	4
2	4
3	4
4	3
U[3]	Top5UnlabeledData
0	3
1	4
2	0
3	3
4	3
U[3]	Top5LabeledData
0	4
1	4
2	3
3	4
4	0
U[4]	Top5UnlabeledData
0	4
1	1
2	3
3	4
4	4
U[4]	Top5LabeledData
0	1
1	3
2	3
3	0
4	1
U[5]	Top5UnlabeledData
0	4
1	3
2	1
3	3
4	1
U[5]	Top5LabeledData
0	3
1	3
2	1
3	0
4	4
U[6]	Top5UnlabeledData
0	4
1	1
2	3
3	4
4	3
U[6]	Top5LabeledData
0	4
1	0
2	1
3	3
4	4
U[7]	Top5UnlabeledData
0	1
1	4
2	3
3	1
4	4
U[7]	Top5LabeledData
0	1
1	4
2	0
3	3
4	4
U[8]	Top5UnlabeledData
0	0
1	3
2	2
3	3
4	1
U[8]	Top5LabeledData
0	4
1	4
2	3
3	4
4	4
U[9]	Top5UnlabeledData
0	1
1	4
2	3
3	3
4	4
U[9]	Top5LabeledData
0	0
1	4
2	3
3	4
4	4
U[10]	Top5UnlabeledData
0	4
1	3
2	4
3	3
4	4
U[10]	Top5LabeledData
0	3
1	0
2	4
3	3
4	3
U[11]	Top5UnlabeledData
0	3
1	4
2	4
3	1
4	3
U[11]	Top5LabeledData
0	4
1	4
2	1
3	1
4	4
U[12]	Top5UnlabeledData
0	1
1	1
2	4
3	3
4	1
U[12]	Top5LabeledData
0	3
1	4
2	4
3	0
4	2
U[13]	Top5UnlabeledData
0	0
1	4
2	4
3	4
4	3
U[13]	Top5LabeledData
0	4
1	3
2	4
3	1
4	4
U[14]	Top5UnlabeledData
0	4
1	3
2	0
3	4
4	3
U[14]	Top5LabeledData
0	4
1	3
2	4
3	4
4	4
U[15]	Top5UnlabeledData
0	4
1	3
2	3
3	1
4	0
U[15]	Top5LabeledData
0	3
1	4
2	4
3	4
4	2
U[16]	Top5UnlabeledData
0	1
1	4
2	1
3	0
4	4
U[16]	Top5LabeledData
0	3
1	4
2	2
3	1
4	4
U[17]	Top5UnlabeledData
0	3
1	4
2	3
3	4
4	1
U[17]	Top5LabeledData
0	0
1	4
2	3
3	4
4	4
U[18]	Top5UnlabeledData
0	3
1	4
2	4
3	3
4	4
U[18]	Top5LabeledData
0	4
1	4
2	4
3	3
4	4
U[19]	Top5UnlabeledData
0	4
1	3
2	4
3	4
4	4
U[19]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[20]	Top5UnlabeledData
0	4
1	3
2	4
3	0
4	4
U[20]	Top5LabeledData
0	4
1	4
2	1
3	3
4	4
U[21]	Top5UnlabeledData
0	1
1	4
2	4
3	3
4	4
U[21]	Top5LabeledData
0	2
1	0
2	4
3	4
4	0
U[22]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	4
U[22]	Top5LabeledData
0	1
1	2
2	0
3	2
4	0
U[23]	Top5UnlabeledData
0	3
1	3
2	4
3	4
4	3
U[23]	Top5LabeledData
0	0
1	1
2	3
3	4
4	3
U[24]	Top5UnlabeledData
0	4
1	1
2	4
3	3
4	3
U[24]	Top5LabeledData
0	3
1	0
2	1
3	4
4	1
U[25]	Top5UnlabeledData
0	3
1	4
2	4
3	3
4	1
U[25]	Top5LabeledData
0	4
1	0
2	1
3	2
4	4
U[26]	Top5UnlabeledData
0	4
1	1
2	3
3	4
4	2
U[26]	Top5LabeledData
0	4
1	4
2	3
3	0
4	1
U[27]	Top5UnlabeledData
0	4
1	4
2	2
3	3
4	3
U[27]	Top5LabeledData
0	4
1	4
2	1
3	4
4	3
U[28]	Top5UnlabeledData
0	4
1	4
2	2
3	3
4	0
U[28]	Top5LabeledData
0	0
1	3
2	4
3	0
4	4
U[29]	Top5UnlabeledData
0	0
1	1
2	4
3	4
4	3
U[29]	Top5LabeledData
0	2
1	0
2	1
3	4
4	4
U[30]	Top5UnlabeledData
0	4
1	0
2	4
3	4
4	3
U[30]	Top5LabeledData
0	4
1	4
2	1
3	4
4	1
U[31]	Top5UnlabeledData
0	4
1	1
2	3
3	4
4	4
U[31]	Top5LabeledData
0	4
1	4
2	3
3	2
4	4
U[32]	Top5UnlabeledData
0	4
1	4
2	4
3	0
4	4
U[32]	Top5LabeledData
0	3
1	2
2	4
3	4
4	4
U[33]	Top5UnlabeledData
0	0
1	3
2	0
3	4
4	0
U[33]	Top5LabeledData
0	0
1	3
2	4
3	1
4	4
U[34]	Top5UnlabeledData
0	4
1	4
2	1
3	3
4	4
U[34]	Top5LabeledData
0	0
1	4
2	4
3	1
4	0
U[35]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	1
U[35]	Top5LabeledData
0	0
1	0
2	1
3	3
4	4
U[36]	Top5UnlabeledData
0	4
1	4
2	4
3	1
4	3
U[36]	Top5LabeledData
0	0
1	3
2	3
3	3
4	4
U[37]	Top5UnlabeledData
0	4
1	1
2	0
3	0
4	4
U[37]	Top5LabeledData
0	3
1	3
2	4
3	2
4	1
U[38]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	4
U[38]	Top5LabeledData
0	3
1	4
2	4
3	2
4	4
U[39]	Top5UnlabeledData
0	0
1	3
2	4
3	4
4	4
U[39]	Top5LabeledData
0	3
1	3
2	3
3	0
4	4
U[40]	Top5UnlabeledData
0	4
1	3
2	4
3	4
4	0
U[40]	Top5LabeledData
0	0
1	3
2	4
3	3
4	3
U[41]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	0
U[41]	Top5LabeledData
0	4
1	4
2	4
3	4
4	2
U[42]	Top5UnlabeledData
0	0
1	0
2	4
3	3
4	0
U[42]	Top5LabeledData
0	4
1	3
2	0
3	0
4	4
U[43]	Top5UnlabeledData
0	0
1	0
2	4
3	4
4	3
U[43]	Top5LabeledData
0	0
1	1
2	2
3	1
4	4
U[44]	Top5UnlabeledData
0	0
1	4
2	4
3	3
4	4
U[44]	Top5LabeledData
0	0
1	0
2	0
3	4
4	1
U[45]	Top5UnlabeledData
0	4
1	4
2	4
3	0
4	4
U[45]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[46]	Top5UnlabeledData
0	4
1	3
2	4
3	4
4	4
U[46]	Top5LabeledData
0	4
1	4
2	2
3	0
4	4
U[47]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	0
U[47]	Top5LabeledData
0	2
1	3
2	1
3	4
4	4
U[48]	Top5UnlabeledData
0	3
1	0
2	0
3	4
4	4
U[48]	Top5LabeledData
0	0
1	4
2	3
3	4
4	1
U[49]	Top5UnlabeledData
0	3
1	4
2	1
3	0
4	4
U[49]	Top5LabeledData
0	3
1	4
2	4
3	3
4	3
U[50]	Top5UnlabeledData
0	4
1	3
2	2
3	4
4	1
U[50]	Top5LabeledData
0	4
1	2
2	4
3	4
4	0
U[51]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	3
U[51]	Top5LabeledData
0	3
1	3
2	4
3	4
4	3
U[52]	Top5UnlabeledData
0	3
1	4
2	1
3	4
4	0
U[52]	Top5LabeledData
0	0
1	1
2	1
3	0
4	1
U[53]	Top5UnlabeledData
0	4
1	4
2	4
3	3
4	1
U[53]	Top5LabeledData
0	4
1	2
2	0
3	4
4	4
U[54]	Top5UnlabeledData
0	3
1	4
2	4
3	3
4	4
U[54]	Top5LabeledData
0	4
1	4
2	4
3	4
4	3
U[55]	Top5UnlabeledData
0	4
1	0
2	3
3	1
4	4
U[55]	Top5LabeledData
0	4
1	4
2	4
3	4
4	3
U[56]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	4
U[56]	Top5LabeledData
0	4
1	4
2	3
3	1
4	4
U[57]	Top5UnlabeledData
0	4
1	1
2	3
3	4
4	4
U[57]	Top5LabeledData
0	0
1	3
2	4
3	4
4	1
U[58]	Top5UnlabeledData
0	3
1	4
2	3
3	4
4	1
U[58]	Top5LabeledData
0	2
1	4
2	0
3	4
4	4
U[59]	Top5UnlabeledData
0	4
1	4
2	4
3	0
4	4
U[59]	Top5LabeledData
0	4
1	2
2	3
3	4
4	3
U[60]	Top5UnlabeledData
0	1
1	4
2	4
3	4
4	4
U[60]	Top5LabeledData
0	4
1	3
2	4
3	4
4	4
U[61]	Top5UnlabeledData
0	4
1	4
2	0
